,name,id,z_inv,h_0,bc,storage,a,b,c,max_depth,map_x,map_y,base_demand,tank,tank_fake_node,demand_pattern,tank_min,tank_max
60,164,60,71.628,0.0,False,functional,0,0,1e-05,inf,7427.0,7434.0,1.130576319488e-06,False,False,1,-inf,inf
61,165,61,86.86800000000001,0.0,False,functional,0,0,1e-05,inf,4379.82,7847.74,1.272529261388e-06,False,False,1,-inf,inf
62,1651,62,90.22080000000001,0.0,False,functional,0,0,1e-05,inf,4259.12,7694.62,0.0,False,False,1,-inf,inf
63,167,63,94.7928,0.0,False,functional,0,0,1e-05,inf,4391.54,7443.17,4.6686745336000004e-07,False,False,1,-inf,inf
64,168,64,77.1144,0.0,False,functional,0,0,1e-05,inf,4421.69,8585.14,9.19224161548e-07,False,False,1,-inf,inf
65,169,65,79.248,0.0,False,functional,0,0,1e-05,inf,7618.14,7467.62,1.484512321292e-06,False,False,1,-inf,inf
66,171,66,79.248,0.0,False,functional,0,0,1e-05,inf,8303.9,6880.71,8.479322396160001e-07,False,False,1,-inf,inf
67,172,67,88.39200000000001,0.0,False,functional,0,0,1e-05,inf,8048.23,7124.33,1.2018682414200002e-06,False,False,1,-inf,inf
68,1721,68,83.82000000000001,0.0,False,functional,0,0,1e-05,inf,8280.62,7105.04,0.0,False,False,1,-inf,inf
69,1722,69,79.248,0.0,False,functional,0,0,1e-05,inf,7919.01,6919.02,0.0,False,False,1,-inf,inf
70,1723,70,70.104,0.0,False,functional,0,0,1e-05,inf,7865.2,6681.72,0.0,False,False,1,-inf,inf
71,1724,71,65.8368,0.0,False,functional,0,0,1e-05,inf,7995.6,6428.26,0.0,False,False,1,-inf,inf
72,173,72,69.4944,0.0,False,functional,0,0,1e-05,inf,8239.19,6614.49,9.19224161548e-07,False,False,1,-inf,inf
73,174,73,81.6864,0.0,False,functional,0,0,1e-05,inf,4187.52,8948.01,6.504599248840001e-07,False,False,1,-inf,inf
74,175,74,80.1624,0.0,False,functional,0,0,1e-05,inf,3808.49,9340.35,0.0,False,False,1,-inf,inf
75,176,75,78.6384,0.0,False,functional,0,0,1e-05,inf,3406.69,9347.33,0.0,False,False,1,-inf,inf
76,177,76,64.92240000000001,0.0,False,functional,0,0,1e-05,inf,2460.83,8830.04,0.0,False,False,1,-inf,inf
77,178,77,69.1896,0.0,False,functional,0,0,1e-05,inf,2286.87,7858.03,0.0,False,False,1,-inf,inf
78,1781,78,63.7032,0.0,False,functional,0,0,1e-05,inf,3027.73,7105.84,0.0,False,False,1,-inf,inf
79,179,79,71.9328,0.0,False,functional,0,0,1e-05,inf,1865.67,7567.16,5.5147140673240005e-06,False,False,1,-inf,inf
80,1791,80,76.8096,0.0,False,functional,0,0,1e-05,inf,1913.65,7464.08,0.0,False,False,1,-inf,inf
81,1792,81,88.08720000000001,0.0,False,functional,0,0,1e-05,inf,1864.21,7202.3,0.0,False,False,1,-inf,inf
82,1793,82,106.9848,0.0,False,functional,0,0,1e-05,inf,2131.32,6853.94,0.0,False,False,1,-inf,inf
83,1794,83,117.348,0.0,False,functional,0,0,1e-05,inf,1988.92,6684.33,0.0,False,False,1,-inf,inf
84,180,84,57.912000000000006,0.0,False,functional,0,0,1e-05,inf,3090.85,6044.7,0.0,False,False,1,-inf,inf
85,1801,85,60.96,0.0,False,functional,0,0,1e-05,inf,3266.38,6106.79,0.0,False,False,1,-inf,inf
86,181,86,71.628,0.0,False,functional,0,0,1e-05,inf,3400.21,6643.25,1.484512321292e-06,False,False,1,-inf,inf
87,182,87,79.248,0.0,False,functional,0,0,1e-05,inf,3836.21,6234.14,1.060546201484e-06,False,False,1,-inf,inf
88,1821,88,76.2,0.0,False,functional,0,0,1e-05,inf,3805.0,6460.0,0.0,False,False,1,-inf,inf
89,183,89,74.676,0.0,False,functional,0,0,1e-05,inf,3301.49,6880.3,7.779021216120001e-07,False,False,1,-inf,inf
90,184,90,60.96,0.0,False,functional,0,0,1e-05,inf,7646.57,6537.68,1.484512321292e-06,False,False,1,-inf,inf
91,202,91,80.4672,0.0,False,functional,0,0,1e-05,inf,2034.35,10066.4,9.19224161548e-07,False,False,1,-inf,inf
92,203,92,69.1896,0.0,False,functional,0,0,1e-05,inf,2025.44,9352.33,1.060546201484e-06,False,False,1,-inf,inf
93,207,93,65.532,0.0,False,functional,0,0,1e-05,inf,5445.33,8379.27,1.060546201484e-06,False,False,1,-inf,inf
94,2071,94,71.0184,0.0,False,functional,0,0,1e-05,inf,5129.88,8639.66,0.0,False,False,1,-inf,inf
95,208,95,75.2856,0.0,False,functional,0,0,1e-05,inf,5044.54,8950.99,1.979770363032e-06,False,False,1,-inf,inf
96,209,96,66.1416,0.0,False,functional,0,0,1e-05,inf,5667.34,8622.06,1.130576319488e-06,False,False,1,-inf,inf
97,211,97,70.104,0.0,False,functional,0,0,1e-05,inf,6603.04,9291.05,2.333075462872e-06,False,False,1,-inf,inf
98,2111,98,74.0664,0.0,False,functional,0,0,1e-05,inf,6549.27,9522.56,0.0,False,False,1,-inf,inf
99,212,99,72.5424,0.0,False,functional,0,0,1e-05,inf,6905.75,9095.26,5.5834823814e-07,False,False,1,-inf,inf
100,213,100,83.51520000000001,0.0,False,functional,0,0,1e-05,inf,6831.11,9995.43,1.060546201484e-06,False,False,1,-inf,inf
101,214,101,82.9056,0.0,False,functional,0,0,1e-05,inf,7173.64,10064.21,8.479322396160001e-07,False,False,1,-inf,inf
102,215,102,87.17280000000001,0.0,False,functional,0,0,1e-05,inf,7349.04,9608.93,3.74755766616e-07,False,False,1,-inf,inf
103,216,103,85.34400000000001,0.0,False,functional,0,0,1e-05,inf,7302.52,10081.68,2.82644079872e-07,False,False,1,-inf,inf
104,217,104,85.03920000000001,0.0,False,functional,0,0,1e-05,inf,6966.87,10490.54,7.779021216120001e-07,False,False,1,-inf,inf
105,218,105,85.34400000000001,0.0,False,functional,0,0,1e-05,inf,6808.87,10576.59,2.82644079872e-07,False,False,1,-inf,inf
106,219,106,86.56320000000001,0.0,False,functional,0,0,1e-05,inf,6241.03,10438.8,1.060546201484e-06,False,False,1,-inf,inf
107,221,107,89.91600000000001,0.0,False,functional,0,0,1e-05,inf,5270.29,9929.1,0.0,False,False,1,-inf,inf
108,222,108,109.11840000000001,0.0,False,functional,0,0,1e-05,inf,8132.58,10049.3,0.0,False,False,1,-inf,inf
109,223,109,73.152,0.0,False,functional,0,0,1e-05,inf,6077.46,8995.59,0.0,False,False,1,-inf,inf
110,229,110,86.56320000000001,0.0,False,functional,0,0,1e-05,inf,6210.0,10470.0,0.0,False,False,1,-inf,inf
111,185,111,122.5296,4.84632,False,functional,0,0,1329.8031081434733,7.9248,2051.82,6617.0,0.0,True,False,-,122.8344,130.4544
112,i185,112,122.5296,0.0,False,functional,0,0,1e-05,130.4544,2051.82,6617.0,0.0,False,True,-,122.8344,130.4544
