,106,107,108,109,111,112,113,1131,115,123,124,125,126,127,128,129,130,131,132,133,134,135,1351,1352,137,138,139,140,141,1411,1412,1413,142,143,144,1441,1442,1443,145,146,147,148,149,151,152,1521,153,154,1541,155,156,157,158,159,160,161,1611,162,163,1631,164,165,1651,167,168,169,171,172,1721,1722,1723,1724,173,174,175,176,177,178,1781,179,1791,1792,1793,1794,180,1801,181,182,1821,183,184,202,203,207,2071,208,209,211,2111,212,213,214,215,216,217,218,219,221,222,223,229,185
16200,127.810104,127.867744,127.86769,127.913055,127.912994,127.94462,129.10948,128.22295,129.39774,127.98555,127.985504,127.98559,127.98547,127.98565,128.01537,128.01532,128.07043,128.05257,128.05255,128.07045,128.1006,128.11768,128.04517,127.95289,129.34476,129.34476,129.71358,129.34476,127.900154,127.86442,127.85609,127.820786,127.89048,127.83076,127.78456,127.77984,127.77596,127.77475,127.77605,127.7759,127.7728,127.77418,127.77108,127.76235,127.763535,127.76679,127.77171,127.753044,127.76185,127.75293,127.76025,127.74784,127.73193,127.72128,127.86082,127.71313,127.71126,127.78131,127.70491,127.70554,127.784615,127.70749,127.70747,127.707436,127.70196,127.78573,127.78994,127.78714,127.7885,127.78827,127.791756,127.81621,127.79463,127.6886,127.67362,127.65252,127.61065,127.56984,127.66875,127.54818,127.542046,127.52819,127.5048,127.491844,127.76765,127.766945,127.76514,127.76478,127.76491,127.76505,127.83779,127.61045,127.610504,127.72611,127.72488,127.72401,127.723854,127.716484,127.71636,127.71642,127.716064,127.71339,127.713326,127.71335,127.71225,127.71193,127.71075,127.67556,127.71335,127.72005,127.71075,127.48617
18000,127.852554,127.91018,127.91014,127.95549,127.95544,127.98706,129.15192,128.2654,129.44019,128.02798,128.02794,128.02803,128.02791,128.02809,128.0578,128.05777,128.11288,128.095,128.09499,128.1129,128.14305,128.16011,128.08762,127.99533,129.38719,129.38719,129.75601,129.38719,127.942604,127.90686,127.89853,127.86323,127.93293,127.8732,127.82701,127.82228,127.818405,127.81719,127.81848,127.81835,127.81524,127.81661,127.81352,127.804794,127.80598,127.809235,127.814156,127.79549,127.80429,127.79537,127.8027,127.79028,127.77437,127.763725,127.90325,127.75556,127.7537,127.82375,127.74736,127.74799,127.82706,127.74993,127.74991,127.74988,127.74439,127.82817,127.83238,127.82958,127.83093,127.83071,127.8342,127.85865,127.837074,127.73104,127.716064,127.694954,127.65309,127.61229,127.71118,127.59062,127.584496,127.57063,127.54724,127.534294,127.81009,127.80939,127.80757,127.80721,127.80735,127.807495,127.880226,127.6529,127.65295,127.768555,127.76731,127.76644,127.7663,127.75892,127.7588,127.758865,127.75851,127.75583,127.75577,127.75579,127.7547,127.75437,127.75319,127.718,127.75579,127.76249,127.75319,127.52861
19800,127.895,127.95262,127.95258,127.99794,127.99788,128.02951,129.19435,128.30783,129.48264,128.07043,128.07039,128.07047,128.07036,128.07054,128.10025,128.1002,128.15532,128.13745,128.13742,128.15533,128.18549,128.20256,128.13005,128.03778,129.42964,129.42964,129.79845,129.42964,127.98505,127.949295,127.94097,127.90567,127.97537,127.91564,127.86945,127.864716,127.86085,127.85964,127.86092,127.860794,127.85769,127.859055,127.855965,127.84723,127.84842,127.85168,127.8566,127.83793,127.84674,127.837814,127.84514,127.83272,127.81681,127.80616,127.9457,127.798004,127.796135,127.86619,127.7898,127.790436,127.8695,127.792366,127.79235,127.79232,127.786835,127.87061,127.87482,127.87203,127.873375,127.87315,127.87664,127.901085,127.87952,127.773476,127.75851,127.7374,127.69553,127.65473,127.753624,127.633064,127.62694,127.613075,127.589676,127.57673,127.85253,127.85184,127.85001,127.849655,127.8498,127.84993,127.92267,127.69534,127.69539,127.811,127.80975,127.80889,127.80874,127.80136,127.80124,127.80131,127.80096,127.79828,127.79821,127.79824,127.797134,127.79681,127.79563,127.760445,127.79824,127.804924,127.79563,127.57105
21600,128.09511,128.16997,128.16995,128.22823,128.2282,128.26833,129.46988,128.58336,129.75815,128.32042,128.3204,128.32043,128.3204,128.32045,128.35654,128.3565,128.4225,128.40128,128.40128,128.4225,128.45807,128.47809,128.41483,128.3343,129.70517,129.70517,130.07397,129.70517,128.2883,128.25443,128.24652,128.21288,128.28084,128.22252,128.17783,128.17409,128.17107,128.16966,128.1711,128.17105,128.16747,128.16733,128.16672,128.1536,128.15572,128.16048,128.17085,128.15086,128.1603,128.15082,128.15872,128.14273,128.1163,128.09813,128.2566,128.0857,128.08282,128.18265,128.0699,128.07166,128.18774,128.07703,128.07703,128.07701,128.06206,128.1896,128.19408,128.19151,128.19276,128.1923,128.19522,128.21732,128.19823,128.03392,128.0015,127.95511,127.86314,127.76612,127.90304,127.7289,127.71748,127.691696,127.648155,127.62406,128.03996,128.03976,128.03923,128.03914,128.03918,128.03922,128.2364,127.86308,127.86309,128.11227,128.1115,128.11095,128.11058,128.10419,128.10416,128.10417,128.10406,128.10036,128.10034,128.10036,128.09862,128.09804,128.09584,128.00609,128.10036,128.10728,128.09584,127.613495
23400,128.15446,128.22932,128.22931,128.28758,128.28755,128.32768,129.52924,128.64272,129.8175,128.37978,128.37976,128.37979,128.37975,128.3798,128.41588,128.41586,128.48186,128.46063,128.46063,128.48186,128.51743,128.53745,128.47418,128.39366,129.76451,129.76451,130.13333,129.76451,128.34764,128.31378,128.30588,128.27223,128.34018,128.28188,128.23718,128.23344,128.23042,128.229,128.23044,128.23041,128.22682,128.22668,128.22607,128.21295,128.21507,128.21983,128.23021,128.21022,128.21965,128.21017,128.21808,128.20207,128.17566,128.15749,128.31595,128.14505,128.14218,128.242,128.12926,128.131,128.2471,128.13638,128.13638,128.13637,128.1214,128.24896,128.25343,128.25087,128.2521,128.25166,128.25458,128.27667,128.25758,128.09328,128.06085,128.01445,127.922485,127.82547,127.962395,127.788246,127.77683,127.75105,127.70751,127.68341,128.0993,128.0991,128.09859,128.0985,128.09853,128.09857,128.29575,127.922424,127.92245,128.17163,128.17084,128.1703,128.16994,128.16354,128.16351,128.16353,128.16342,128.1597,128.15968,128.1597,128.15796,128.1574,128.1552,128.06544,128.1597,128.16664,128.1552,127.672844
25200,128.2138,128.28867,128.28865,128.34692,128.34691,128.38702,129.5886,128.70206,129.87686,128.43913,128.43912,128.43913,128.4391,128.43916,128.47523,128.47522,128.54121,128.51997,128.51997,128.54121,128.57677,128.59679,128.53352,128.453,129.82387,129.82387,130.19269,129.82387,128.407,128.37312,128.36523,128.33157,128.39954,128.34122,128.29652,128.2928,128.28976,128.28836,128.2898,128.28975,128.28618,128.28603,128.28542,128.2723,128.27443,128.27917,128.28955,128.26956,128.27899,128.26953,128.27742,128.26143,128.23502,128.21683,128.3753,128.2044,128.20152,128.30135,128.1886,128.19035,128.30644,128.19572,128.19572,128.19572,128.18076,128.3083,128.31279,128.31023,128.31146,128.311,128.31392,128.33601,128.31693,128.15263,128.1202,128.0738,127.981834,127.88482,128.02174,127.8476,127.83619,127.810394,127.76685,127.74276,128.15866,128.15846,128.15794,128.15784,128.15788,128.15791,128.3551,127.98178,127.98179,128.23099,128.2302,128.22964,128.2293,128.2229,128.22287,128.22289,128.22278,128.21906,128.21904,128.21906,128.21732,128.21674,128.21455,128.1248,128.21906,128.22598,128.21455,127.73219
27000,128.27316,128.34802,128.348,128.40628,128.40625,128.44638,129.64793,128.76141,129.9362,128.49847,128.49846,128.49849,128.49846,128.4985,128.53458,128.53456,128.60056,128.57933,128.57933,128.60056,128.63612,128.65614,128.59288,128.51236,129.88322,129.88322,130.25203,129.88322,128.46635,128.43248,128.42458,128.39093,128.4589,128.40057,128.35588,128.35214,128.34912,128.34772,128.34915,128.3491,128.34552,128.34538,128.34477,128.33165,128.33377,128.33853,128.3489,128.32892,128.33835,128.32889,128.33678,128.32079,128.29436,128.27618,128.43466,128.26375,128.26088,128.3607,128.24796,128.24971,128.3658,128.25508,128.25508,128.25507,128.24011,128.36766,128.37213,128.36957,128.37082,128.37036,128.37328,128.39537,128.37628,128.21198,128.17955,128.13316,128.04118,127.944176,128.0811,127.906944,127.89553,127.86975,127.82621,127.80212,128.21802,128.21782,128.21729,128.2172,128.21724,128.21727,128.41446,128.04114,128.04114,128.29033,128.28955,128.289,128.28865,128.28224,128.28221,128.28223,128.28214,128.27841,128.2784,128.2784,128.27667,128.2761,128.2739,128.18414,128.2784,128.28534,128.2739,127.79155
28800,128.4274,128.51257,128.51257,128.57857,128.57857,128.62378,129.84744,128.96092,130.13571,128.68254,128.68254,128.68254,128.68254,128.68256,128.72246,128.72246,128.795,128.77176,128.77174,128.795,128.83385,128.85564,128.79742,128.72331,130.08272,130.08272,130.45154,130.08272,128.68097,128.64825,128.64062,128.60802,128.67462,128.61743,128.57378,128.5706,128.56805,128.56659,128.56805,128.56804,128.56436,128.56328,128.56395,128.54869,128.55132,128.55678,128.5705,128.55008,128.55972,128.55006,128.55817,128.54039,128.50822,128.48581,128.6533,128.47112,128.46773,128.5832,128.4509,128.45335,128.58919,128.46089,128.46089,128.46089,128.43997,128.59143,128.59593,128.59355,128.59471,128.59415,128.59671,128.61726,128.59973,128.403,128.36,128.29846,128.17647,128.04501,128.20483,127.99858,127.98398,127.95097,127.895256,127.86442,128.36464,128.36458,128.36444,128.3644,128.36441,128.36443,128.6348,128.17645,128.17645,128.50504,128.50449,128.50409,128.50363,128.49786,128.49785,128.49786,128.49782,128.49374,128.49374,128.49374,128.49171,128.49101,128.4883,128.36613,128.49374,128.50066,128.4883,127.8509
30600,128.4952,128.58038,128.58037,128.64638,128.64638,128.69159,129.91525,129.02872,130.20352,128.75035,128.75035,128.75035,128.75035,128.75035,128.79027,128.79027,128.86281,128.83955,128.83955,128.86281,128.90164,128.92345,128.86522,128.79112,130.15053,130.15053,130.51935,130.15053,128.74878,128.71605,128.70844,128.67581,128.74242,128.68524,128.64159,128.63841,128.63585,128.6344,128.63586,128.63585,128.63217,128.63107,128.63174,128.6165,128.61913,128.62457,128.6383,128.61789,128.62752,128.61787,128.62596,128.6082,128.57602,128.5536,128.7211,128.53893,128.53554,128.65102,128.5187,128.52116,128.657,128.5287,128.5287,128.5287,128.50778,128.65924,128.66374,128.66136,128.66252,128.66196,128.66452,128.68507,128.66754,128.4708,128.42781,128.36627,128.24426,128.11281,128.27264,128.06639,128.05179,128.01878,127.963066,127.93223,128.43245,128.43239,128.43224,128.4322,128.43222,128.43222,128.70259,128.24425,128.24426,128.57285,128.57228,128.5719,128.57144,128.56567,128.56566,128.56566,128.56563,128.56155,128.56154,128.56154,128.55951,128.5588,128.5561,128.43393,128.56154,128.56847,128.5561,127.91871
32400,128.563,128.64818,128.64818,128.71419,128.71417,128.75938,129.98305,129.09653,130.27133,128.81816,128.81815,128.81816,128.81815,128.81816,128.85806,128.85806,128.9306,128.90736,128.90736,128.93062,128.96945,128.99126,128.93303,128.85893,130.21834,130.21834,130.58714,130.21834,128.81659,128.78386,128.77623,128.74362,128.81023,128.75305,128.7094,128.70622,128.70366,128.7022,128.70366,128.70366,128.69998,128.69888,128.69955,128.6843,128.68694,128.69238,128.70612,128.68568,128.69533,128.68568,128.69377,128.67601,128.64383,128.62141,128.78891,128.60674,128.60335,128.71883,128.5865,128.58897,128.72481,128.59651,128.59651,128.59651,128.57559,128.72705,128.73155,128.72917,128.73032,128.72977,128.73232,128.75287,128.73534,128.5386,128.49562,128.43408,128.31207,128.18062,128.34044,128.13419,128.11958,128.08658,128.03087,128.00003,128.50024,128.5002,128.50005,128.50002,128.50003,128.50003,128.7704,128.31206,128.31206,128.64066,128.64009,128.63971,128.63925,128.63347,128.63347,128.63347,128.63344,128.62935,128.62935,128.62935,128.62732,128.62662,128.6239,128.50174,128.62935,128.63626,128.6239,127.9865
